method,sample_id,n_reference_positive_shallow_zeros,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,positive_prediction_rate,n_shallow_repeats
Training-mean RA,SRS2822136,98.8,0.002112622342046174,0.007641673673190163,1.0919317486049507,1.2830896837941066,1.0,5
Training-mean RA,SRS2822149,105.0,0.0006878868033190304,0.002584836076309758,0.6814493879741562,0.8612921353749401,1.0,5
Training-mean RA,SRS2822153,104.8,0.0005448545977085625,0.0022046083780313227,0.6128424013880853,0.7860244369922623,1.0,5
Training-mean RA,SRS2822168,107.2,0.0005821677972963115,0.001100023096711093,0.8450027064273978,0.9944985200686405,1.0,5
Training-mean RA,SRS2822180,111.0,0.000531289644839906,0.0010211422894425598,0.8839676939613298,1.0430549379761194,1.0,5
Training-mean RA,SRS2822183,105.0,0.0003143637705007178,0.0006716355695330731,0.5214048197382619,0.6719887304014458,1.0,5
Training-mean RA,SRS2822185,100.2,0.0004682529788002161,0.001076131364892318,0.6687053619503298,0.8557723559069721,1.0,5
Training-mean RA,SRS2822218,91.4,0.001107213060211797,0.002955202982115949,0.9834388308127334,1.121156963946134,1.0,5
Training-mean RA,SRS2822220,31.6,0.0025028910877698493,0.007097553665277899,1.1920881799978649,1.4503131890816428,1.0,5
Training-mean RA,SRS2822230,81.0,0.0018537967052218065,0.006594519189010233,0.7728576019468161,0.9811735684149717,1.0,5
Training-mean RA,SRS2822236,94.0,0.0008791235199502437,0.0018498300858794535,0.9015993762038914,1.071834553014377,1.0,5
Training-mean RA,SRS2822240,78.4,0.0011236920509344176,0.0025554425172524434,0.9510602926995457,1.104300024343121,1.0,5
Training-mean RA,SRS2822243,37.2,0.0005623430928476776,0.001285528283462822,0.6121790237980955,0.7742612762067986,1.0,5
